Don Byas;ts;Swing;1952;116.0
Steve Lacy;ss;Hardbop;1958;85.5
John Coltrane;ts;Hardbop;1959;290.3
Roy Eldridge;tp;Swing;1950;243.3
Clifford Brown;tp;Hardbop;1945;161.2
Kenny Dorham;tp;Hardbop;1955;211.9
Clifford Brown;tp;Hardbop;1945;161.2
Kenny Dorham;tp;Hardbop;1954;121.3
J.J. Johnson;tb;Bebop;1957;277.2
Sonny Rollins;ts;Hardbop;1956;176.2
Kenny Dorham;tp;Hardbop;1954;121.3
John Coltrane;ts;Hardbop;1957;140.8
Charlie Parker;as;Bebop;1946;210.5
Louis Armstrong;cor;Traditional;1925;146.4
Ornette Coleman;as;Free;1959;126.2
Freddie Hubbard;tp;Postbop;1965;127.4
Bob Berg;ts;Postbop;1993;131.8
Michael Brecker;ts;Postbop;1987;243.8
Paul Desmond;as;Cool;1963;199.9
Wayne Shorter;ts;Postbop;1964;142.4
Ornette Coleman;as;Free;1959;232.8
David Murray;ts;Postbop;1983;66.0
Charlie Parker;as;Bebop;1945;226.3
Clifford Brown;tp;Hardbop;1955;140.1
Miles Davis;tp;Hardbop;1956;115.7
Wayne Shorter;ts;Postbop;1964;142.4
Louis Armstrong;cor;Traditional;1926;193.0
John Coltrane;ts;Hardbop;1959;290.3
Freddie Hubbard;tp;Postbop;1965;127.4
Benny Goodman;cl;Swing;1936;268.5
Bob Berg;ts;Postbop;1993;250.7
Louis Armstrong;cor;Traditional;1926;193.0
Louis Armstrong;cor;Traditional;1926;183.1
Joshua Redman;ts;Postbop;1993;84.1
Freddie Hubbard;tp;Postbop;1961;113.9
