Louis Armstrong;cor;Traditional;1927;197.4
Wayne Shorter;ts;Postbop;1964;284.6
Kenny Dorham;tp;Postbop;1964;294.2
Roy Eldridge;tp;Swing;1943;230.7
Woody Shaw;tp;Postbop;1987;251.1
Sonny Rollins;ts;Postbop;1972;197.2
Coleman Hawkins;ts;Swing;1949;67.4
J.J. Johnson;tb;Bebop;1957;277.2
Dexter Gordon;ts;Swing;1969;203.7
Bob Berg;ts;Postbop;1979;127.2
Joshua Redman;ts;Postbop;1996;181.2
Don Byas;ts;Swing;1952;116.0
Joe Lovano;ts;Postbop;1991;63.2
J.J. Johnson;tb;Bebop;1957;125.5
Steve Coleman;as;Postbop;1988;239.8
Freddie Hubbard;tp;Postbop;1964;143.2
Dizzy Gillespie;tp;Bebop;1945;182.3
Freddie Hubbard;tp;Postbop;1964;143.2
Bob Berg;ts;Postbop;1979;127.2
Don Byas;ts;Swing;1945;99.0
Don Byas;ts;Swing;1945;98.9
Benny Goodman;cl;Swing;1936;310.1
Cannonball Adderley;as;Hardbop;1960;156.5
Dexter Gordon;ts;Bebop;1969;119.9
Bob Berg;ts;Postbop;1993;160.6
David Murray;ts;Postbop;1990;63.3
John Coltrane;ts;Hardbop;1959;290.3
Steve Coleman;as;Postbop;1988;239.8
Steve Lacy;ss;Hardbop;1961;132.2
David Liebman;ss;Postbop;1988;144.1
Clifford Brown;tp;Hardbop;1954;139.7
Stan Getz;ts;Cool;1964;64.3
Joshua Redman;ts;Postbop;1993;84.1
Lee Konitz;as;Cool;1954;210.8
Joe Henderson;ts;Postbop;1964;160.3
