Louis Armstrong;cor;Traditional;1926;183.1
Dexter Gordon;ts;Bebop;1961;113.6
Charlie Parker;as;Bebop;1945;226.3
Woody Shaw;tp;Postbop;1977;171.7
Dizzy Gillespie;tp;Bebop;1952;113.4
Clifford Brown;tp;Hardbop;1955;140.1
Sonny Rollins;ts;Hardbop;1956;115.2
Joe Henderson;ts;Postbop;1991;219.9
Freddie Hubbard;tp;Postbop;1961;113.9
Steve Lacy;ss;Hardbop;1958;85.5
Roy Eldridge;tp;Swing;1950;149.8
Benny Carter;as;Swing;1986;91.8
Ornette Coleman;as;Free;1959;126.2
Clifford Brown;tp;Hardbop;1954;163.9
Chet Baker;tp;Cool;1975;201.7
Wayne Shorter;ts;Postbop;1965;126.4
David Murray;ts;Postbop;1990;53.3
Steve Coleman;as;Postbop;1988;239.8
Paul Desmond;as;Cool;1964;152.6
Ornette Coleman;as;Free;1959;232.8
Cannonball Adderley;as;Hardbop;1961;194.3
Lester Young;ts;Swing;1945;151.0
Joe Lovano;ts;Postbop;1991;63.2
David Murray;ts;Postbop;1990;63.3
Bob Berg;ts;Postbop;1993;160.6
Cannonball Adderley;as;Hardbop;1959;175.1
Michael Brecker;ts;Postbop;1990;48.6
Stan Getz;ts;Cool;1964;64.3
Michael Brecker;ts;Postbop;1987;243.8
Coleman Hawkins;ts;Swing;1950;177.5
J.J. Johnson;tb;Bebop;1957;125.5
Chet Baker;tp;Cool;1955;178.1
Charlie Parker;as;Bebop;1945;226.3
Michael Brecker;ts;Postbop;1990;48.6
Steve Lacy;ss;Hardbop;1957;166.0
