Kenny Dorham;tp;Postbop;1964;154.6
J.J. Johnson;tb;Bebop;1957;125.5
Freddie Hubbard;tp;Hardbop;1961;145.8
Art Pepper;as;Cool;1979;140.6
Dizzy Gillespie;tp;Bebop;1945;171.1
Roy Eldridge;tp;Swing;1950;243.3
Stan Getz;ts;Cool;1964;64.3
Dexter Gordon;ts;Swing;1969;203.7
Steve Lacy;ss;Hardbop;1958;85.5
Stan Getz;ts;Cool;1963;131.6
Paul Desmond;as;Cool;1959;116.0
Ornette Coleman;as;Free;1959;232.8
John Coltrane;ts;Hardbop;1959;290.3
Benny Carter;as;Swing;1952;185.4
Paul Desmond;as;Cool;1964;191.2
Michael Brecker;ts;Postbop;1996;125.6
Bob Berg;ts;Postbop;1993;250.7
Benny Carter;as;Swing;1986;127.2
Cannonball Adderley;as;Hardbop;1960;156.5
Lester Young;ts;Swing;1945;151.0
Art Pepper;cl;Cool;1979;167.7
Stan Getz;ts;Cool;1963;131.6
Benny Goodman;cl;Swing;1937;284.8
Joshua Redman;ts;Postbop;1994;53.2
David Liebman;ss;Postbop;1988;260.8
Dizzy Gillespie;tp;Bebop;1952;113.4
Steve Lacy;ss;Hardbop;1957;166.0
Stan Getz;ts;Cool;1963;131.6
Joe Henderson;ts;Postbop;1964;160.3
Joe Lovano;ts;Postbop;1991;63.2
Lester Young;ts;Swing;1939;250.2
Joshua Redman;ts;Postbop;1992;145.2
Louis Armstrong;cor;Traditional;1926;183.1
Dexter Gordon;ts;Swing;1969;203.7
Michael Brecker;ts;Postbop;1996;125.6
