Louis Armstrong;cor;Traditional;1926;193.0
Dexter Gordon;ts;Bebop;1969;119.9
Joe Lovano;ts;Postbop;1994;200.8
Lee Konitz;as;Cool;1954;229.0
Woody Shaw;tp;Postbop;1977;171.7
Woody Shaw;tp;Postbop;1987;251.1
Dexter Gordon;ts;Bebop;1969;180.9
Ornette Coleman;as;Free;1959;232.8
Wayne Shorter;ts;Postbop;1964;142.4
Kenny Dorham;tp;Postbop;1964;154.6
J.J. Johnson;tb;Bebop;1957;125.5
Stan Getz;ts;Cool;1964;64.3
Lester Young;ts;Swing;1945;151.0
Don Byas;ts;Swing;1952;116.0
Dexter Gordon;ts;Bebop;1961;113.6
Kenny Dorham;tp;Postbop;1964;154.6
Coleman Hawkins;ts;Swing;1954;250.0
Charlie Parker;as;Bebop;1946;210.5
Lester Young;ts;Swing;1944;245.0
John Coltrane;ts;Hardbop;1959;344.0
Art Pepper;as;Cool;1979;60.9
Joshua Redman;ts;Postbop;1992;145.2
Miles Davis;tp;Postbop;1959;138.6
John Coltrane;ts;Hardbop;1957;140.8
David Liebman;ss;Postbop;1988;258.8
Benny Carter;as;Swing;1986;124.0
J.J. Johnson;tb;Bebop;1949;196.7
J.J. Johnson;tb;Bebop;1957;277.2
Miles Davis;tp;Hardbop;1956;270.9
Benny Carter;as;Swing;1986;124.0
Joe Henderson;ts;Postbop;1991;219.9
Benny Carter;as;Swing;1952;185.4
David Murray;ts;Postbop;1983;66.1
Paul Desmond;as;Cool;1964;191.2
Lee Konitz;as;Cool;1949;256.4
