Louis Armstrong;cor;Traditional;1926;193.0
Lee Konitz;as;Cool;1954;229.0
Kenny Dorham;tp;Hardbop;1955;211.9
Lee Konitz;as;Cool;1954;229.0
Benny Carter;as;Swing;1986;124.0
Louis Armstrong;cor;Traditional;1926;193.0
Benny Carter;as;Swing;1986;124.0
Benny Carter;as;Swing;1986;124.0
Benny Carter;as;Swing;1986;124.0
Benny Carter;as;Swing;1986;124.0
Benny Carter;as;Swing;1986;124.0
Lee Konitz;as;Cool;1954;229.0
Louis Armstrong;cor;Traditional;1926;193.0
Benny Carter;as;Swing;1986;124.0
Benny Carter;as;Swing;1986;124.0
Benny Carter;as;Swing;1986;124.0
Kenny Dorham;tp;Hardbop;1955;211.9
Louis Armstrong;cor;Traditional;1926;193.0
Kenny Dorham;tp;Hardbop;1955;211.9
Benny Carter;as;Swing;1986;124.0
Louis Armstrong;cor;Traditional;1926;193.0
Lee Konitz;as;Cool;1954;229.0
Benny Carter;as;Swing;1986;124.0
Benny Carter;as;Swing;1986;124.0
Kenny Dorham;tp;Hardbop;1955;211.9
Louis Armstrong;cor;Traditional;1926;193.0
Benny Carter;as;Swing;1986;124.0
Benny Carter;as;Swing;1986;124.0
Benny Carter;as;Swing;1986;124.0
Benny Carter;as;Swing;1986;124.0
Benny Carter;as;Swing;1986;124.0
Kenny Dorham;tp;Hardbop;1955;211.9
Benny Carter;as;Swing;1986;124.0
Benny Carter;as;Swing;1986;124.0
Benny Carter;as;Swing;1986;124.0
