Ben Webster;ts;Swing;1956;82.0
Benny Carter;as;Swing;1986;124.0
Art Pepper;cl;Cool;1979;167.7
Lee Konitz;as;Cool;1954;229.0
J.J. Johnson;tb;Bebop;1949;196.7
Coleman Hawkins;ts;Swing;1949;67.4
Ben Webster;ts;Swing;1956;181.8
Coleman Hawkins;ts;Swing;1950;177.5
Louis Armstrong;cor;Traditional;1927;197.4
Joe Lovano;ts-c;Postbop;1994;107.0
Chet Baker;tp;Cool;1955;157.5
Lee Konitz;as;Cool;1954;229.0
Dexter Gordon;ts;Bebop;1961;113.6
Roy Eldridge;tp;Swing;1950;149.8
Lester Young;ts;Swing;1945;151.0
Benny Carter;as;Swing;1986;127.2
Sonny Rollins;ts;Hardbop;1956;115.2
Kenny Dorham;tp;Hardbop;1955;211.9
Lester Young;ts;Swing;1945;151.0
Clifford Brown;tp;Hardbop;1954;163.9
Freddie Hubbard;tp;Postbop;1965;127.4
J.J. Johnson;tb;Bebop;1949;196.7
Woody Shaw;cor;Postbop;1978;173.1
Charlie Parker;as;Bebop;1947;197.3
Lee Konitz;as;Cool;1949;173.5
J.J. Johnson;tb;Bebop;1949;196.7
Ornette Coleman;as;Free;1959;235.8
Dizzy Gillespie;tp;Bebop;1945;171.1
Lee Konitz;as;Cool;1954;229.0
Michael Brecker;ts;Postbop;1990;48.6
Chet Baker;tp;Cool;1975;201.7
Benny Goodman;cl;Swing;1936;310.1
Steve Coleman;ts;Postbop;1989;104.1
Freddie Hubbard;tp;Postbop;1965;127.4
John Coltrane;ts;Hardbop;1959;290.3
