Don Byas;ts;Swing;1945;99.0
Louis Armstrong;cor;Traditional;1926;193.0
Don Byas;ts;Swing;1945;99.0
Don Byas;ts;Swing;1945;99.0
Louis Armstrong;cor;Traditional;1926;193.0
Don Byas;ts;Swing;1945;99.0
Louis Armstrong;cor;Traditional;1926;193.0
Don Byas;ts;Swing;1945;99.0
Don Byas;ts;Swing;1945;99.0
Don Byas;ts;Swing;1945;99.0
Don Byas;ts;Swing;1945;99.0
Louis Armstrong;cor;Traditional;1926;193.0
Freddie Hubbard;tp;Postbop;1965;127.4
J.J. Johnson;tb;Bebop;1957;277.2
Kenny Dorham;tp;Hardbop;1955;211.9
Freddie Hubbard;tp;Postbop;1965;127.4
Louis Armstrong;cor;Traditional;1926;193.0
Don Byas;ts;Swing;1945;99.0
Don Byas;ts;Swing;1945;99.0
Don Byas;ts;Swing;1945;99.0
Don Byas;ts;Swing;1945;99.0
Don Byas;ts;Swing;1945;99.0
Don Byas;ts;Swing;1945;99.0
Freddie Hubbard;tp;Postbop;1965;127.4
Don Byas;ts;Swing;1945;99.0
Louis Armstrong;cor;Traditional;1926;193.0
Don Byas;ts;Swing;1945;99.0
Don Byas;ts;Swing;1945;99.0
Don Byas;ts;Swing;1945;99.0
Louis Armstrong;cor;Traditional;1926;193.0
Don Byas;ts;Swing;1945;99.0
Roy Eldridge;tp;Swing;1950;149.8
Don Byas;ts;Swing;1945;99.0
Don Byas;ts;Swing;1945;99.0
Kenny Dorham;tp;Hardbop;1955;211.9
