Art Pepper;Cool;1979;199.8
Art Pepper;Cool;1979;140.6
Art Pepper;Cool;1979;60.9
Benny Carter;Swing;1952;68.2
Benny Carter;Swing;1986;124.0
Benny Carter;Swing;1986;127.2
Benny Carter;Swing;1986;91.8
Benny Goodman;Swing;1937;239.7
Benny Goodman;Swing;1937;303.5
Benny Goodman;Swing;1936;310.1
Benny Goodman;Swing;1936;268.5
Ben Webster;Swing;1959;140.9
Ben Webster;Swing;1962;118.3
Ben Webster;Swing;1956;74.1
Ben Webster;Swing;1956;82.0
Bob Berg;Postbop;1993;270.3
Bob Berg;Postbop;1993;250.7
Bob Berg;Postbop;1979;127.2
Bob Berg;Postbop;1993;160.6
Cannonball Adderley;Hardbop;1959;129.0
Cannonball Adderley;Hardbop;1959;142.6
Cannonball Adderley;Hardbop;1961;194.3
Cannonball Adderley;Hardbop;1960;156.5
Charlie Parker;Bebop;1947;224.7
Charlie Parker;Bebop;1946;220.3
Charlie Parker;Bebop;1947;197.3
Charlie Parker;Bebop;1946;210.5
Chet Baker;Cool;1955;189.9
Chet Baker;Cool;1955;157.5
Chet Baker;Cool;1955;178.1
Chet Baker;Cool;1975;225.7
Clifford Brown;Hardbop;1956;142.7
Clifford Brown;Hardbop;1954;139.7
Clifford Brown;Hardbop;1945;161.2
Clifford Brown;Hardbop;1954;163.9
